Topic,Subtopic,ObjectiveName,LearningObjectives,Pre-requisites,vloookup,true?,
,,,,"Since whole means complete, any unbroken or complete object represents a whole. ","Since whole means complete, any unbroken or complete object represents a whole. ",TRUE,
,,, Fraction with Denominator as 0 is not possible as fractions represents a part of a whole and a whole cannot be divided into 0 parts ,"""Number of parts considered from the whole is the numerator
 Total number of parts the whole is divided into is the denominator""","""Number of parts considered from the whole is the numerator
 Total number of parts the whole is divided into is the denominator""",TRUE,
,,,,"Division by 0                                                                        
Zero divided by a non- zero whole number is zero. i.e. if a is a whole numbers other than zero, then 0 ÷ a = 0.
A whole number divided by 0 is undefined because we cannot divide a number into 0 parts. ","Division by 0                                                                        
Zero divided by a non- zero whole number is zero. i.e. if a is a whole numbers other than zero, then 0 ÷ a = 0.
A whole number divided by 0 is undefined because we cannot divide a number into 0 parts. ",TRUE,
,Representation of Fractions,How to represent a fraction - Area Models,Fraction is represented by shaded part of the region that is divided into equal parts,"""Number of parts considered from the whole is the numerator
 Total number of parts the whole is divided into is the denominator""","""Number of parts considered from the whole is the numerator
 Total number of parts the whole is divided into is the denominator""",TRUE,
,,,,An array is a way to represent division using rows and columns. The given number (dividend) is split or divided into columns of equal size (divisor). ,An array is a way to represent division using rows and columns. The given number (dividend) is split or divided into columns of equal size (divisor). ,TRUE,
,Representation of Fractions,How to represent a fraction - Group of Objects," Fraction can name a part of a group of objects.

","""Number of parts considered from the whole is the numerator
 Total number of parts the whole is divided into is the denominator""","""Number of parts considered from the whole is the numerator
 Total number of parts the whole is divided into is the denominator""",TRUE,
,,, Number of objects considered/ chosen is numerator and number of total objects is denominator,"""Number of parts considered from the whole is the numerator
 Total number of parts the whole is divided into is the denominator""","""Number of parts considered from the whole is the numerator
 Total number of parts the whole is divided into is the denominator""",TRUE,
,,,,Counting a group of objects is done by assigning one number to each object and only counting each object once.,Counting a group of objects is done by assigning one number to each object and only counting each object once.,TRUE,
,,,"
 Fractions can name one group of objects among other groups of objects.","""Number of parts considered from the whole is the numerator
 Total number of parts the whole is divided into is the denominator""","""Number of parts considered from the whole is the numerator
 Total number of parts the whole is divided into is the denominator""",TRUE,
,,,,Counting a group of objects is done by assigning one number to each object and only counting each object once.,Counting a group of objects is done by assigning one number to each object and only counting each object once.,TRUE,
,,, Number of groups considered/ chosen from a set of groups is numerator and total number of groups is denominator.,"""Number of parts considered from the whole is the numerator
 Total number of parts the whole is divided into is the denominator""","""Number of parts considered from the whole is the numerator
 Total number of parts the whole is divided into is the denominator""",TRUE,
,,,,Counting a group of objects is done by assigning one number to each object and only counting each object once.,Counting a group of objects is done by assigning one number to each object and only counting each object once.,TRUE,
,,,"

 Fractions can be used to represent a part of a group where the group can be considered as a whole. 
 Similarly, fractions can be used to represent a group of objects among a group of objects, where all the groups can be considered a whole.""","""Number of parts considered from the whole is the numerator
 Total number of parts the whole is divided into is the denominator""","""Number of parts considered from the whole is the numerator
 Total number of parts the whole is divided into is the denominator""",TRUE,
,,,,Counting a group of objects is done by assigning one number to each object and only counting each object once.,Counting a group of objects is done by assigning one number to each object and only counting each object once.,TRUE,
,Representation of Fractions,How to represent a fraction - Number Line A,"
 Number line is used to represent fraction that denotes distance or length.


",Distance is how far apart two objects are.,Distance is how far apart two objects are.,TRUE,
,,,, A number line is a pictorial representation of numbers on a horizontal or vertical straight line., A number line is a pictorial representation of numbers on a horizontal or vertical straight line.,TRUE,
,,,," On a number line, as we move towards the right, the value of numbers increases.",,,
,,,,Fractions represents objects which are not a whole / part of a whole,Fractions represents objects which are not a whole / part of a whole,TRUE,
,,, A fraction number line has to be drawn between 0 and 1 as value of an object less than a whole is less than 1.,Fractions represents objects which are not a whole / part of a whole,Fractions represents objects which are not a whole / part of a whole,TRUE,
,,,," On a number line, as we move towards the right, the value of numbers increases.",,,
,Representation of Fractions,,"
 To denote a fraction on a number line, the number line has to be divided into some parts. The denominator of the fraction determines the number of equal parts the number line is partitioned into.
"," To represent numbers, mark points of equal intervals on to the right of the origin point 0.

",,,
,,,,"""Number of parts considered from the whole is the numerator
 Total number of parts the whole is divided into is the denominator""","""Number of parts considered from the whole is the numerator
 Total number of parts the whole is divided into is the denominator""",TRUE,
,,, Each point is equidistant from each other and all are 1/b," To represent numbers, mark points of equal intervals on to the right of the origin point 0.

",,,
,,,,"""Number of parts considered from the whole is the numerator
 Total number of parts the whole is divided into is the denominator""","""Number of parts considered from the whole is the numerator
 Total number of parts the whole is divided into is the denominator""",TRUE,
,Representation of Fractions,Reading Fractions,The numerator is read as cardinal numbers and the denominator is read as ordinal numbers,"""Number of parts considered from the whole is the numerator
 Total number of parts the whole is divided into is the denominator""","""Number of parts considered from the whole is the numerator
 Total number of parts the whole is divided into is the denominator""",TRUE,
,,,," A cardinal number is a number that tells how many of something there are like 1, 2, 3, 4, 5 and so on."," A cardinal number is a number that tells how many of something there are like 1, 2, 3, 4, 5 and so on.",TRUE,
,,,," An ordinal number is a number that tells the position of something in a list like 1st, 2nd, 3rd, 4th, 5th etc.",,,
,,,"Except for fractions with 1 and 2 as denominators, the nr is read as cardinal number and the denominator is read as ordinal number. ","""Number of parts considered from the whole is the numerator
 Total number of parts the whole is divided into is the denominator""","""Number of parts considered from the whole is the numerator
 Total number of parts the whole is divided into is the denominator""",TRUE,
,,,," A cardinal number is a number that tells how many of something there are like 1, 2, 3, 4, 5 and so on."," A cardinal number is a number that tells how many of something there are like 1, 2, 3, 4, 5 and so on.",TRUE,
,,,," An ordinal number is a number that tells the position of something in a list like 1st, 2nd, 3rd, 4th, 5th etc.",,,
,,,1/2 is called half and 1/4 is read as one - quarter or one fourths 4/4 is read as four - fourths or four - quarters or one.,"""Number of parts considered from the whole is the numerator
 Total number of parts the whole is divided into is the denominator""","""Number of parts considered from the whole is the numerator
 Total number of parts the whole is divided into is the denominator""",TRUE,
,,,,"When an object is split into two equal parts, each part is known as half. Half is formed by splitting 1 into two equal parts.","When an object is split into two equal parts, each part is known as half. Half is formed by splitting 1 into two equal parts.",TRUE,
,Parts of a whole,All parts should be Equal in size," To represent an object as a fraction all parts should be equal
",Fractions represents objects which are not a whole / part of a whole,Fractions represents objects which are not a whole / part of a whole,TRUE,
,,,,Fraction represented by shaded part of the region that is divided into equal parts,,,
,,," Division is splitting into equal parts or groups. Since fractions are like division, objects which are unequally partitioned cannot be represented as fractions."," Division is splitting a given amount equally. Fraction is the measure of each part when an object is divided. Hence fraction can be considered as a division problem. 
"," Division is splitting a given amount equally. Fraction is the measure of each part when an object is divided. Hence fraction can be considered as a division problem. 
",TRUE,
,,,,Fraction is represented by shaded part of the region that is divided into equal parts,Fraction is represented by shaded part of the region that is divided into equal parts,TRUE,
,Parts of a whole,Representing unequally partitioned objects as fractions,Unequally partitioned objects can be represented as fractions by making the size of all parts equal,Fraction is represented by shaded part of the region that is divided into equal parts,Fraction is represented by shaded part of the region that is divided into equal parts,TRUE,
,,,," To represent an object as a fraction all parts should be equal
"," To represent an object as a fraction all parts should be equal
",TRUE,
,,,"Even with unequal parts, each part can have their own measure",Fraction is represented by shaded part of the region that is divided into equal parts,Fraction is represented by shaded part of the region that is divided into equal parts,TRUE,
,,,,,,,
,Parts of a whole,"More the number of parts, lesser the size of each part and vice versa.", Size of each part decreases as the number of part increases,Fraction is represented by shaded part of the region that is divided into equal parts,Fraction is represented by shaded part of the region that is divided into equal parts,TRUE,
,,,,"""Number of parts considered from the whole is the numerator
 Total number of parts the whole is divided into is the denominator""","""Number of parts considered from the whole is the numerator
 Total number of parts the whole is divided into is the denominator""",TRUE,
,,,"
 Greater the denominator, smalller the part.","Comparing numbers means identifying if one number is equal to, less than or greater than the other number. ",,,
,,,,Fraction is represented by shaded part of the region that is divided into equal parts,Fraction is represented by shaded part of the region that is divided into equal parts,TRUE,
,,,,"""Number of parts considered from the whole is the numerator
 Total number of parts the whole is divided into is the denominator""","""Number of parts considered from the whole is the numerator
 Total number of parts the whole is divided into is the denominator""",TRUE,
,Types of Fractions,Unit Fractions," The size of each part of a fraction is called a unit fraction. 
",Fraction is represented by shaded part of the region that is divided into equal parts,Fraction is represented by shaded part of the region that is divided into equal parts,TRUE,
,,,,"""Number of parts considered from the whole is the numerator
 Total number of parts the whole is divided into is the denominator""","""Number of parts considered from the whole is the numerator
 Total number of parts the whole is divided into is the denominator""",TRUE,
,,," All unit fractions have 1 as their numerator.
",Fraction is represented by shaded part of the region that is divided into equal parts,Fraction is represented by shaded part of the region that is divided into equal parts,TRUE,
,,,,"""Number of parts considered from the whole is the numerator
 Total number of parts the whole is divided into is the denominator""","""Number of parts considered from the whole is the numerator
 Total number of parts the whole is divided into is the denominator""",TRUE,
,,, Unit fractions are fractions whose value is less than 1 and  the numerator is lesser than the denominator,Fraction is represented by shaded part of the region that is divided into equal parts,Fraction is represented by shaded part of the region that is divided into equal parts,TRUE,
,,,,"""Number of parts considered from the whole is the numerator
 Total number of parts the whole is divided into is the denominator""","""Number of parts considered from the whole is the numerator
 Total number of parts the whole is divided into is the denominator""",TRUE,
,,,,"Comparing numbers means identifying if one number is equal to, less than or greater than the other number. ",,,
,Types of Fractions,Proper Fractions," A group of unit fractions added will result in another fraction. If the resulting fraction is has a value that is less than 1, then such fractions are called proper fractions. 

"," The size of each part of a fraction is called a unit fraction. 
"," The size of each part of a fraction is called a unit fraction. 
",TRUE,
,,,,"""Number of parts considered from the whole is the numerator
 Total number of parts the whole is divided into is the denominator""","""Number of parts considered from the whole is the numerator
 Total number of parts the whole is divided into is the denominator""",TRUE,
,,,,Addition is a way of combining things and counting them together as one large group.,Addition is a way of combining things and counting them together as one large group.,TRUE,
,,, All fractions whose nr is lesser than dr are called proper fractions.,"""Number of parts considered from the whole is the numerator
 Total number of parts the whole is divided into is the denominator""","""Number of parts considered from the whole is the numerator
 Total number of parts the whole is divided into is the denominator""",TRUE,
,,,,"Comparing numbers means identifying if one number is equal to, less than or greater than the other number. ",,,
,,, Proper fractions and Unit fractions are fractions whose value is less than 1 and  the numerator is lesser than the denominator,"""Number of parts considered from the whole is the numerator
 Total number of parts the whole is divided into is the denominator""","""Number of parts considered from the whole is the numerator
 Total number of parts the whole is divided into is the denominator""",TRUE,
,,,,"Comparing numbers means identifying if one number is equal to, less than or greater than the other number. ",,,
,,,, Unit fractions are fractions whose value is less than 1 and  the numerator is lesser than the denominator, Unit fractions are fractions whose value is less than 1 and  the numerator is lesser than the denominator,TRUE,
,Types of Fractions,What are Improper and Mixed Fractions," Two type of fractions called Mixed Fractions and Improper Fractions are used to represent quantities or objects that are more than whole.
","""Number of parts considered from the whole is the numerator
 Total number of parts the whole is divided into is the denominator""","""Number of parts considered from the whole is the numerator
 Total number of parts the whole is divided into is the denominator""",TRUE,
,,,,Counting a group of objects is done by assigning one number to each object and only counting each object once.,Counting a group of objects is done by assigning one number to each object and only counting each object once.,TRUE,
,,, A group of unit fractions when added resulting in another fraction whose value is greater than 1 gives an improper or mixed fraction.  ," The size of each part of a fraction is called a unit fraction. 
"," The size of each part of a fraction is called a unit fraction. 
",TRUE,
,,,,Addition is a way of combining things and counting them together as one large group.,Addition is a way of combining things and counting them together as one large group.,TRUE,
,,,,"""Number of parts considered from the whole is the numerator
 Total number of parts the whole is divided into is the denominator""","""Number of parts considered from the whole is the numerator
 Total number of parts the whole is divided into is the denominator""",TRUE,
,Types of Fractions,What is the difference bet Improper and Mixed Fractions,"  If we need to consider the number of wholes and the number of fractional parts in a object and represent as a fraction, we will use mixed fractions
",Whole numbers are used to count objects which are whole and fractions are used to count objects which are less than a whole,Whole numbers are used to count objects which are whole and fractions are used to count objects which are less than a whole,TRUE,
,,,,Fractions represents objects which are not a whole / part of a whole,Fractions represents objects which are not a whole / part of a whole,TRUE,
,,,," Two type of fractions called Mixed Fractions and Improper Fractions are used to represent quantities or objects that are more than whole.
"," Two type of fractions called Mixed Fractions and Improper Fractions are used to represent quantities or objects that are more than whole.
",TRUE,
,,,"  Since, mixed fractions are combination of whole numbers and a proper fraction, it has the form < box box/ box>",Whole numbers include all natural numbers and 0. ,Whole numbers include all natural numbers and 0. ,TRUE,
,,,, All fractions whose nr is lesser than dr are called proper fractions., All fractions whose nr is lesser than dr are called proper fractions.,TRUE,
,,,," Two type of fractions called Mixed Fractions and Improper Fractions are used to represent quantities or objects that are more than whole.
"," Two type of fractions called Mixed Fractions and Improper Fractions are used to represent quantities or objects that are more than whole.
",TRUE,
,,," If we need to consider all parts of a given objects and represent as a fraction, we will use improper fractions",Fractions represents objects which are not a whole / part of a whole,Fractions represents objects which are not a whole / part of a whole,TRUE,
,,,," Two type of fractions called Mixed Fractions and Improper Fractions are used to represent quantities or objects that are more than whole.
"," Two type of fractions called Mixed Fractions and Improper Fractions are used to represent quantities or objects that are more than whole.
",TRUE,
,,,"
 Improper fraction has a regular form of fraction but their numerator is greater than a denominator","""Number of parts considered from the whole is the numerator
 Total number of parts the whole is divided into is the denominator""","""Number of parts considered from the whole is the numerator
 Total number of parts the whole is divided into is the denominator""",TRUE,
,,,," Two type of fractions called Mixed Fractions and Improper Fractions are used to represent quantities or objects that are more than whole.
"," Two type of fractions called Mixed Fractions and Improper Fractions are used to represent quantities or objects that are more than whole.
",TRUE,
,,,"
 These types of fractions can also be represented on a number line"," Two type of fractions called Mixed Fractions and Improper Fractions are used to represent quantities or objects that are more than whole.
"," Two type of fractions called Mixed Fractions and Improper Fractions are used to represent quantities or objects that are more than whole.
",TRUE,
,,,,"
 To denote a fraction on a number line, the number line has to be divided into some parts. The denominator of the fraction determines the number of equal parts the number line is partitioned into.
","
 To denote a fraction on a number line, the number line has to be divided into some parts. The denominator of the fraction determines the number of equal parts the number line is partitioned into.
",TRUE,
,,,, Each point is equidistant from each other and all are 1/b, Each point is equidistant from each other and all are 1/b,TRUE,
,Types of Fractions,Conversion of Mixed to Improper. Why do we convert Mixed to Improper Fractions?, Conversion of MF to IF is done for ease of calculation.,"  Since, mixed fractions are combination of whole numbers and a proper fraction, it has the form < box box/ box>","  Since, mixed fractions are combination of whole numbers and a proper fraction, it has the form < box box/ box>",TRUE,
,,,,"
 Improper fraction has a regular form of fraction but their numerator is greater than a denominator","
 Improper fraction has a regular form of fraction but their numerator is greater than a denominator",TRUE,
,,," For conversion, wholes are split into equal parts and added to fraction part.","  Since, mixed fractions are combination of whole numbers and a proper fraction, it has the form < box box/ box>","  Since, mixed fractions are combination of whole numbers and a proper fraction, it has the form < box box/ box>",TRUE,
,,,,"
 Improper fraction has a regular form of fraction but their numerator is greater than a denominator","
 Improper fraction has a regular form of fraction but their numerator is greater than a denominator",TRUE,
,,,,Fraction is represented by shaded part of the region that is divided into equal parts,Fraction is represented by shaded part of the region that is divided into equal parts,TRUE,
,,, Number of partition of whole number of MF is same as the number of partition proper fraction of MF has.,"  Since, mixed fractions are combination of whole numbers and a proper fraction, it has the form < box box/ box>","  Since, mixed fractions are combination of whole numbers and a proper fraction, it has the form < box box/ box>",TRUE,
,,,,"
 Improper fraction has a regular form of fraction but their numerator is greater than a denominator","
 Improper fraction has a regular form of fraction but their numerator is greater than a denominator",TRUE,
,,,,Fraction is represented by shaded part of the region that is divided into equal parts,Fraction is represented by shaded part of the region that is divided into equal parts,TRUE,
,,, Deduction of formula for conversion.,"  Since, mixed fractions are combination of whole numbers and a proper fraction, it has the form < box box/ box>","  Since, mixed fractions are combination of whole numbers and a proper fraction, it has the form < box box/ box>",TRUE,
,,,,"
 Improper fraction has a regular form of fraction but their numerator is greater than a denominator","
 Improper fraction has a regular form of fraction but their numerator is greater than a denominator",TRUE,
,,,,"
Addition can be done by counting forward from the given number.","
Addition can be done by counting forward from the given number.",TRUE,
,,,,A multiplication fact is the product of two specific numbers.,A multiplication fact is the product of two specific numbers.,TRUE,
,,,,,,,
,Types of Fractions,Conversion of Improper to Mixed. Why do we convert Improper to Mixed Fractions?," When if are converted to mf, because MF makes more sense in real world than IF.
","  Since, mixed fractions are combination of whole numbers and a proper fraction, it has the form < box box/ box>","  Since, mixed fractions are combination of whole numbers and a proper fraction, it has the form < box box/ box>",TRUE,
,,,,"
 Improper fraction has a regular form of fraction but their numerator is greater than a denominator","
 Improper fraction has a regular form of fraction but their numerator is greater than a denominator",TRUE,
,,,,"  If we need to consider the number of wholes and the number of fractional parts in a object and represent as a fraction, we will use mixed fractions
","  If we need to consider the number of wholes and the number of fractional parts in a object and represent as a fraction, we will use mixed fractions
",TRUE,
,,, We can divide numerator by denominator to convert Improper Fraction to Mixed Fraction. ,"  Since, mixed fractions are combination of whole numbers and a proper fraction, it has the form < box box/ box>","  Since, mixed fractions are combination of whole numbers and a proper fraction, it has the form < box box/ box>",TRUE,
,,,,"
 Improper fraction has a regular form of fraction but their numerator is greater than a denominator","
 Improper fraction has a regular form of fraction but their numerator is greater than a denominator",TRUE,
,,,,"In the long method of division, divide the digits of the dividend by the divisor one digit at a time starting from the highest place value. Follow 5 steps of divide, multiply, subtract, bring down and repeat until the dividend is less than the divisor.","In the long method of division, divide the digits of the dividend by the divisor one digit at a time starting from the highest place value. Follow 5 steps of divide, multiply, subtract, bring down and repeat until the dividend is less than the divisor.",TRUE,
,,, To convert Improper Fraction to Mixed Fraction means to find how many wholes are there and how many fractions are there in the improper fraction.,"  Since, mixed fractions are combination of whole numbers and a proper fraction, it has the form < box box/ box>","  Since, mixed fractions are combination of whole numbers and a proper fraction, it has the form < box box/ box>",TRUE,
,,,,"
 Improper fraction has a regular form of fraction but their numerator is greater than a denominator","
 Improper fraction has a regular form of fraction but their numerator is greater than a denominator",TRUE,
,,,,"In the long method of division, divide the digits of the dividend by the divisor one digit at a time starting from the highest place value. Follow 5 steps of divide, multiply, subtract, bring down and repeat until the dividend is less than the divisor.","In the long method of division, divide the digits of the dividend by the divisor one digit at a time starting from the highest place value. Follow 5 steps of divide, multiply, subtract, bring down and repeat until the dividend is less than the divisor.",TRUE,
,,, The denominator remains the same as the each part represents the same part.,"  Since, mixed fractions are combination of whole numbers and a proper fraction, it has the form < box box/ box>","  Since, mixed fractions are combination of whole numbers and a proper fraction, it has the form < box box/ box>",TRUE,
,,,,"
 Improper fraction has a regular form of fraction but their numerator is greater than a denominator","
 Improper fraction has a regular form of fraction but their numerator is greater than a denominator",TRUE,
,Equivalent fractions,Recognising Equivalent Fractions," Two or three Fractions are Equivalent if the amount or size they represent are considered to be the same but the number of parts is different. 
",Fraction is represented by shaded part of the region that is divided into equal parts,Fraction is represented by shaded part of the region that is divided into equal parts,TRUE,
,,, Recognizing if 2 fractions are equivalent is the same as comparing 2 fractions to check if they are equal in value.,Fraction is represented by shaded part of the region that is divided into equal parts,Fraction is represented by shaded part of the region that is divided into equal parts,TRUE,
,,,," Comparing numbers means identifying if one number is equal to, less than or greater than the other number. "," Comparing numbers means identifying if one number is equal to, less than or greater than the other number. ",TRUE,
,,,"
 Equivalent fractions align at the same point on a number line",Fraction is represented by shaded part of the region that is divided into equal parts,Fraction is represented by shaded part of the region that is divided into equal parts,TRUE,
,,,, A fraction number line has to be drawn between 0 and 1 as value of an object less than a whole is less than ,,,
,Equivalent fractions,Multiplication of Fractions," Multiplication of fractions is to take a part of a fraction.

",Fraction is represented by shaded part of the region that is divided into equal parts,Fraction is represented by shaded part of the region that is divided into equal parts,TRUE,
,,,,A multiplication fact is the product of two specific numbers.,A multiplication fact is the product of two specific numbers.,TRUE,
,,, Multiplying 2 fractions gives a result that has more number of parts,Fraction is represented by shaded part of the region that is divided into equal parts,Fraction is represented by shaded part of the region that is divided into equal parts,TRUE,
,,,,A multiplication fact is the product of two specific numbers.,A multiplication fact is the product of two specific numbers.,TRUE,
,,, The overlapping region of the objects representing the 2 fractions in the product of the fractions.,Fraction is represented by shaded part of the region that is divided into equal parts,Fraction is represented by shaded part of the region that is divided into equal parts,TRUE,
,,,,A multiplication fact is the product of two specific numbers.,A multiplication fact is the product of two specific numbers.,TRUE,
,Equivalent fractions,Forming Equivalent Fractions by Multiplcation," Multiplying any fraction by a fraction whose value is 1 yields its equivalent fraction.

"," Multiplication of fractions is to take a part of a fraction.

"," Multiplication of fractions is to take a part of a fraction.

",TRUE,
,,,," Two or three Fractions are Equivalent if the amount or size they represent are considered to be the same but the number of parts is different. 
"," Two or three Fractions are Equivalent if the amount or size they represent are considered to be the same but the number of parts is different. 
",TRUE,
,,, Multiplying any fraction by a fraction whose value is 1 does not change the value of the fraction but the result is different.," Multiplication of fractions is to take a part of a fraction.

"," Multiplication of fractions is to take a part of a fraction.

",TRUE,
,,,," Two or three Fractions are Equivalent if the amount or size they represent are considered to be the same but the number of parts is different. 
"," Two or three Fractions are Equivalent if the amount or size they represent are considered to be the same but the number of parts is different. 
",TRUE,
,,, Finding an equivalent fraction of a fraction by multiplication will make the number of parts in the original fraction increase but the size does not change.," Multiplication of fractions is to take a part of a fraction.

"," Multiplication of fractions is to take a part of a fraction.

",TRUE,
,,,, Multiplying 2 fractions gives a result that has more number of parts, Multiplying 2 fractions gives a result that has more number of parts,TRUE,
,,,," Two or three Fractions are Equivalent if the amount or size they represent are considered to be the same but the number of parts is different. 
"," Two or three Fractions are Equivalent if the amount or size they represent are considered to be the same but the number of parts is different. 
",TRUE,
,,,"
 When we find an equivalent fraction, we are trying to find another fraction whose value is same as the origninal fraction. To do so, we need to multiply the fraction with another fraction whose value is also  "," Multiplication of fractions is to take a part of a fraction.

"," Multiplication of fractions is to take a part of a fraction.

",TRUE,
,,,," Two or three Fractions are Equivalent if the amount or size they represent are considered to be the same but the number of parts is different. 
"," Two or three Fractions are Equivalent if the amount or size they represent are considered to be the same but the number of parts is different. 
",TRUE,
,Equivalent fractions,Forming Equivalent Fractions by Division," We can get a simpler form of a fraction by dividing a fraction by the same numerator and denominator

",Fraction is represented by shaded part of the region that is divided into equal parts,Fraction is represented by shaded part of the region that is divided into equal parts,TRUE,
,,,,"""Number of parts considered from the whole is the numerator
 Total number of parts the whole is divided into is the denominator""","""Number of parts considered from the whole is the numerator
 Total number of parts the whole is divided into is the denominator""",TRUE,
,,,,"Division being the inverse of multiplication; dividing a whole number a by b means finding a whole number ""c"" which when multiplied by b gives a.
Thus a ÷ b = c is same as a = b x c. Ex: to find 28 div 7, we find a number that when multiplied by 7 gives 28..that is  ",,,
,,, Finding equivalent fractions by division will not change the value of a fraction.,"""Number of parts considered from the whole is the numerator
 Total number of parts the whole is divided into is the denominator""","""Number of parts considered from the whole is the numerator
 Total number of parts the whole is divided into is the denominator""",TRUE,
,,,,"Division being the inverse of multiplication; dividing a whole number a by b means finding a whole number ""c"" which when multiplied by b gives a.
Thus a ÷ b = c is same as a = b x c. Ex: to find 28 div 7, we find a number that when multiplied by 7 gives 28..that is  ",,,
,,,," Two or three Fractions are Equivalent if the amount or size they represent are considered to be the same but the number of parts is different. 
"," Two or three Fractions are Equivalent if the amount or size they represent are considered to be the same but the number of parts is different. 
",TRUE,
,,, The number that divides both the numerator and the denominator completely is called Common Factor,"""Number of parts considered from the whole is the numerator
 Total number of parts the whole is divided into is the denominator""","""Number of parts considered from the whole is the numerator
 Total number of parts the whole is divided into is the denominator""",TRUE,
,,,,"Division being the inverse of multiplication; dividing a whole number a by b means finding a whole number ""c"" which when multiplied by b gives a.
Thus a ÷ b = c is same as a = b x c. ","Division being the inverse of multiplication; dividing a whole number a by b means finding a whole number ""c"" which when multiplied by b gives a.
Thus a ÷ b = c is same as a = b x c. ",TRUE,
,,,," A common factor is a number that can divide the given set of numbers, without leaving a remainder.

",,,
,,, Both the numerator and denominator should be divided by the same number to form an equivalent fraction by division.,"""Number of parts considered from the whole is the numerator
 Total number of parts the whole is divided into is the denominator""","""Number of parts considered from the whole is the numerator
 Total number of parts the whole is divided into is the denominator""",TRUE,
,,,,"Division being the inverse of multiplication; dividing a whole number a by b means finding a whole number ""c"" which when multiplied by b gives a.
Thus a ÷ b = c is same as a = b x c. ","Division being the inverse of multiplication; dividing a whole number a by b means finding a whole number ""c"" which when multiplied by b gives a.
Thus a ÷ b = c is same as a = b x c. ",TRUE,
,,,," Two or three Fractions are Equivalent if the amount or size they represent are considered to be the same but the number of parts is different. 
"," Two or three Fractions are Equivalent if the amount or size they represent are considered to be the same but the number of parts is different. 
",TRUE,
,Equivalent fractions,Simplification of Fractions A ," We simplify a fraction means to make the fraction that has more number of parts to have less parts without changing the value of the fraction

","""Number of parts considered from the whole is the numerator
 Total number of parts the whole is divided into is the denominator""","""Number of parts considered from the whole is the numerator
 Total number of parts the whole is divided into is the denominator""",TRUE,
,,,,"Division being the inverse of multiplication; dividing a whole number a by b means finding a whole number ""c"" which when multiplied by b gives a.
Thus a ÷ b = c is same as a = b x c. ","Division being the inverse of multiplication; dividing a whole number a by b means finding a whole number ""c"" which when multiplied by b gives a.
Thus a ÷ b = c is same as a = b x c. ",TRUE,
,,,," We can get a simpler form of a fraction by dividing a fraction by the same numerator and denominator

"," We can get a simpler form of a fraction by dividing a fraction by the same numerator and denominator

",TRUE,
,,,, Both the numerator and denominator should be divided by the same number to form an equivalent fraction by division., Both the numerator and denominator should be divided by the same number to form an equivalent fraction by division.,TRUE,
,,," When we simplify a fraction to the lowest number of parts, we reduce the fraction to its lowest form. "," We can get a simpler form of a fraction by dividing a fraction by the same numerator and denominator

"," We can get a simpler form of a fraction by dividing a fraction by the same numerator and denominator

",TRUE,
,,,, Both the numerator and denominator should be divided by the same number to form an equivalent fraction by division., Both the numerator and denominator should be divided by the same number to form an equivalent fraction by division.,TRUE,
,,, We can find a simplified or lowest form of the given fraction by finding an equivalent fraction  using division. Here the nr and dr of the fraction are to be reduced as much as possible.," We can get a simpler form of a fraction by dividing a fraction by the same numerator and denominator

"," We can get a simpler form of a fraction by dividing a fraction by the same numerator and denominator

",TRUE,
,,,, Both the numerator and denominator should be divided by the same number to form an equivalent fraction by division., Both the numerator and denominator should be divided by the same number to form an equivalent fraction by division.,TRUE,
,Equivalent fractions,Simplification of fractions B,"We can simplify a fraction by divding the fraction with a common factor of its numerator and denominator. 

", We can find a simplified or lowest form of the given fraction by finding an equivalent fraction  using division. Here the nr and dr of the fraction are to be reduced as much as possible., We can find a simplified or lowest form of the given fraction by finding an equivalent fraction  using division. Here the nr and dr of the fraction are to be reduced as much as possible.,TRUE,
,,,," A common factor is a number that can divide the given set of numbers, without leaving a remainder.

",,,
,,,,"Division being the inverse of multiplication; dividing a whole number a by b means finding a whole number ""c"" which when multiplied by b gives a.
Thus a ÷ b = c is same as a = b x c. ","Division being the inverse of multiplication; dividing a whole number a by b means finding a whole number ""c"" which when multiplied by b gives a.
Thus a ÷ b = c is same as a = b x c. ",TRUE,
,,, We can simplify a fraction to its lowest form by divding the fraction with the highest common factor of its numerator and denominator. ,HCF is the greatest number that divides both the given numbers without leaving any remainder.,HCF is the greatest number that divides both the given numbers without leaving any remainder.,TRUE,
,,,, We can find a simplified or lowest form of the given fraction by finding an equivalent fraction  using division. Here the nr and dr of the fraction are to be reduced as much as possible., We can find a simplified or lowest form of the given fraction by finding an equivalent fraction  using division. Here the nr and dr of the fraction are to be reduced as much as possible.,TRUE,
,,,,"Division being the inverse of multiplication; dividing a whole number a by b means finding a whole number ""c"" which when multiplied by b gives a.
Thus a ÷ b = c is same as a = b x c. ","Division being the inverse of multiplication; dividing a whole number a by b means finding a whole number ""c"" which when multiplied by b gives a.
Thus a ÷ b = c is same as a = b x c. ",TRUE,
,Equivalent fractions,Why do we not add or subtract the numerator and denominator of a fraction to find equivalent fraction?,To find an equivalent fraction always multiply or divide the numerator and denominator of a fraction. Adding or subtracting with same numerator changes the value of the fraction and hence does not yield an equivalent fraction.," Multiplying any fraction by a fraction whose value is 1 yields its equivalent fraction.

"," Multiplying any fraction by a fraction whose value is 1 yields its equivalent fraction.

",TRUE,
